Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23
2008-12-01,2,13.4,22.9,0.6,,,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,,16.9,21.8,No,No
2008-12-02,2,7.4,25.1,0.0,,,WNW,44.0,NNW,WSW,4.0,22.0,44.0,25.0,1010.6,1007.8,,,17.2,24.3,No,No
2008-12-08,2,7.7,26.7,0.0,,,W,35.0,SSE,W,6.0,17.0,48.0,19.0,1013.4,1010.1,,,16.3,25.5,No,No
2008-12-21,2,11.5,29.3,0.0,,,S,24.0,SE,SE,9.0,9.0,56.0,28.0,1019.3,1014.8,,,19.1,27.3,No,No
2008-12-22,2,17.1,33.0,0.0,,,NE,43.0,NE,N,17.0,22.0,38.0,28.0,1013.6,1008.1,,1.0,24.5,31.6,No,No
2008-12-28,2,20.1,32.7,0.0,,,WNW,48.0,N,WNW,13.0,30.0,56.0,15.0,1005.2,1001.7,,,24.6,32.1,No,No
2009-01-07,2,16.1,38.9,0.0,,,W,57.0,E,W,6.0,30.0,34.0,12.0,1007.0,1002.7,,,25.2,38.4,No,No
2009-01-12,2,17.3,34.7,0.0,,,SW,35.0,SE,WSW,7.0,15.0,48.0,16.0,1014.1,1012.1,,,24.2,33.2,No,No
2009-01-14,2,17.4,43.0,0.0,,,NW,39.0,SSE,SSW,7.0,17.0,40.0,8.0,1011.6,1006.9,,,25.6,41.5,No,No
2009-01-21,2,19.3,38.1,0.8,,,NNW,61.0,NE,WSW,15.0,17.0,48.0,17.0,1009.6,1005.9,,,27.3,36.1,No,No
2009-01-30,2,22.3,42.9,0.0,,,NNE,28.0,ESE,SE,9.0,11.0,37.0,11.0,1014.6,1010.2,,,29.2,41.2,No,No
2009-02-07,2,22.3,44.8,0.0,,,NNW,59.0,SE,NW,9.0,33.0,36.0,11.0,1008.2,1003.8,,,29.6,43.4,No,No
2009-02-14,2,12.4,29.2,0.0,,,NE,39.0,S,,7.0,0.0,37.0,18.0,1022.5,1016.4,,,18.3,28.5,No,No
2009-02-25,2,8.9,31.9,0.0,,,WNW,43.0,,WSW,0.0,17.0,49.0,16.0,1016.6,1013.4,7.0,7.0,15.0,29.3,No,No
2009-03-10,2,15.5,32.0,0.0,,,NE,50.0,ESE,E,2.0,4.0,51.0,25.0,1019.5,1016.2,,,20.1,30.8,No,Yes
2009-03-31,2,12.3,29.9,0.0,,,WSW,26.0,S,SSW,2.0,13.0,61.0,25.0,1023.2,1019.5,,,17.1,28.6,No,No
